model_name,model_config,seq_len,batch_size,model_size_mb,activation_memory_mb,kv_cache_mb,reserved_memory_mb,total_memory_mb
mamba-1.4b,state-spaces/mamba-1.4b,81920,1,2617.22,8197.59,0,16994.0,10814.82
mamba-1.4b,state-spaces/mamba-1.4b,90112,1,2617.22,9015.47,0,18416.0,11632.69
mamba-1.4b,state-spaces/mamba-1.4b,98304,1,2617.22,9833.59,0,20144.0,12450.82
mamba-1.4b,state-spaces/mamba-1.4b,106496,1,2617.22,10651.72,0,21570.0,13268.94
mamba-1.4b,state-spaces/mamba-1.4b,114688,1,2617.22,11468.59,0,22996.0,14085.82
mamba-1.4b,state-spaces/mamba-1.4b,122880,1,2617.22,12286.34,0,15302.0,14903.57
mamba-1.4b,state-spaces/mamba-1.4b,131072,1,2617.22,13104.09,0,16118.0,15721.32
mamba-1.4b,state-spaces/mamba-1.4b,139264,1,2617.22,13922.22,0,16936.0,16539.44
mamba-1.4b,state-spaces/mamba-1.4b,147456,1,2617.22,14740.34,0,17754.0,17357.57
mamba-1.4b,state-spaces/mamba-1.4b,155648,1,2617.22,15554.28,0,18636.0,18171.5
mamba-1.4b,state-spaces/mamba-1.4b,200000,1,2617.22,19983.02,0,23064.0,22600.24
mamba2-780m,state-spaces/mamba2-780m,256,1,1488.04,266.74,0,1858.0,1754.78
mamba2-780m,state-spaces/mamba2-780m,512,1,1488.04,60.86,0,1678.0,1548.9
mamba2-780m,state-spaces/mamba2-780m,1024,1,1488.04,110.24,0,1770.0,1598.28
mamba2-780m,state-spaces/mamba2-780m,2048,1,1488.04,211.32,0,1918.0,1699.36
mamba2-780m,state-spaces/mamba2-780m,4096,1,1488.04,413.79,0,2232.0,1901.83
mamba2-780m,state-spaces/mamba2-780m,8192,1,1488.04,818.98,0,2856.0,2307.02
mamba2-780m,state-spaces/mamba2-780m,16384,1,1488.04,1629.1,0,4082.0,3117.14
mamba2-780m,state-spaces/mamba2-780m,24576,1,1488.04,2439.23,0,5310.0,3927.27
mamba2-780m,state-spaces/mamba2-780m,32768,1,1488.04,3249.35,0,6536.0,4737.39
mamba2-780m,state-spaces/mamba2-780m,40960,1,1488.04,4058.23,0,7762.0,5546.27
mamba2-780m,state-spaces/mamba2-780m,49152,1,1488.04,4868.1,0,8990.0,6356.14
mamba2-780m,state-spaces/mamba2-780m,57344,1,1488.04,5677.98,0,10228.0,7166.02
mamba2-780m,state-spaces/mamba2-780m,65536,1,1488.04,6487.85,0,11452.0,7975.89
mamba2-780m,state-spaces/mamba2-780m,73728,1,1488.04,7297.98,0,12682.0,8786.02
mamba2-780m,state-spaces/mamba2-780m,81920,1,1488.04,8108.1,0,13910.0,9596.14
mamba2-780m,state-spaces/mamba2-780m,90112,1,1488.04,8918.23,0,15142.0,10406.27
mamba2-780m,state-spaces/mamba2-780m,98304,1,1488.04,9728.35,0,16368.0,11216.39
mamba2-780m,state-spaces/mamba2-780m,106496,1,1488.04,10537.23,0,17596.0,12025.27
mamba2-780m,state-spaces/mamba2-780m,114688,1,1488.04,11347.1,0,18848.0,12835.14
mamba2-780m,state-spaces/mamba2-780m,122880,1,1488.04,12156.98,0,20078.0,13645.02
mamba2-780m,state-spaces/mamba2-780m,131072,1,1488.04,12966.85,0,21302.0,14454.89
